,Group,PD,SR,J,J_loess_prediction,J_residuals,J_highlight_high,J_highlight_low,R2
72,COS,1.3619356687419308,1.2947602093750512,0.0757786986164575,-0.018581139267313286,0.09435983788377078,False,False,0.009295374433878179
73,CPI,-2.900139546856515,-1.7447056892362882,-1.5745961924799534,0.5414691159906068,-2.11606530847056,False,True,0.009295374433878179
74,CPP,0.5244243646117056,0.3478443658847058,-0.1614881734680567,-0.06538534958638316,-0.09610282388167353,False,False,0.009295374433878179
75,CPV,-0.0484653674682219,-0.4078260557832601,-1.804479217635237,-0.050122816638362974,-1.7543564009968742,False,False,0.009295374433878179
76,CRL,-0.1263393588527728,-0.4715702278899226,-0.3646414107470635,-0.04577707476785162,-0.31886433597921193,False,False,0.009295374433878179
77,CTA,-0.4139263340529477,-0.1375911635537256,0.4653159118252261,-0.0010636636250972976,0.4663795754503234,False,False,0.009295374433878179
78,CTM,-3.53289647622703,-1.7447056892362882,0.5689747713735527,0.595014647818891,-0.02603987644533834,False,False,0.009295374433878179
79,CUB,0.6664595587851398,0.656749766401354,-0.6427604649335096,-0.0642668147767345,-0.5784936501567751,False,False,0.009295374433878179
80,CVI,-1.1788400300551116,-1.5340381556825426,-1.1776402387146174,0.3325344945318042,-1.5101747332464217,False,False,0.009295374433878179
81,CYP,-0.5860372579881165,-0.4715702278899226,-0.5175731652223169,0.057879735225388085,-0.5754529004477049,False,False,0.009295374433878179
82,CZE,-0.1374094235615766,0.433913264707048,1.0669803542492236,-0.04516070410802094,1.1121410583572444,False,False,0.009295374433878179
83,DEL,-1.0789276246140262,-0.8686427403087341,-0.2213233576659797,0.3078694781077255,-0.5291928357737052,False,False,0.009295374433878179
84,DEN,-0.8535070539849265,-0.4715702278899226,0.412306170572627,0.189330680966302,0.22297548960632496,False,False,0.009295374433878179
85,DJI,-0.4866557336771762,-0.4715702278899226,-1.6992467088716794,0.019942109417893563,-1.719188818289573,False,False,0.009295374433878179
86,DOM,0.3978280470231371,0.3773202831553167,-0.9778442004005382,-0.06802348614282168,-0.9098207142577165,False,False,0.009295374433878179
87,EAI,-0.3753895894845951,-0.0465899257343305,0.1149264301462229,-0.013335176047050886,0.12826160619327379,False,False,0.009295374433878179
88,ECU,1.3505365438779209,1.3665171774227878,0.0362990523182247,-0.019290427926405198,0.055589480244629896,False,False,0.009295374433878179
89,EGY,-0.5396121911449238,-0.4078260557832601,-0.8330583362378287,0.04070443314782254,-0.8737627693856512,False,False,0.009295374433878179
90,EHM,1.7834453921737297,1.6141250212300915,0.5632092412637745,0.010071676853463211,0.5531375644103113,False,False,0.009295374433878179
91,ELS,0.7914396779477082,0.5875361130708013,-0.1664639350754891,-0.05791564932240088,-0.10854828575308821,False,False,0.009295374433878179
92,EQG,0.1038711315156461,0.2862986308019837,-1.5438974904162432,-0.060108815386160676,-1.4837886750300826,False,False,0.009295374433878179
93,ERI,-0.0186693267924406,-0.0910936706383567,-2.0855451712660718,-0.05258707714434977,-2.032958094121722,False,True,0.009295374433878179
94,ETH,0.8089200919170635,0.700515240754854,0.7165024408515792,-0.05668021579933641,0.7731826566509157,False,False,0.009295374433878179
95,FIJ,-0.1381954598541714,-0.2373600847840067,2.2529456739925817,-0.045134120052959026,2.298079794045541,True,False,0.009295374433878179
96,FIN,-0.6841179199811426,-0.4715702278899226,1.2917480110015969,0.09744971089102422,1.1942983001105727,False,False,0.009295374433878179
97,FLA,0.2336274023696958,0.0765290130562803,-1.213287097366783,-0.06685734369911224,-1.1464297536676709,False,False,0.009295374433878179
98,FOR,-1.4498858831265256,-2.0137945668490214,2.2298917179078765,0.3944633813009037,1.8354283366069728,False,False,0.009295374433878179
99,FRA,0.216155748997503,0.7425575116536355,0.726832553389127,-0.06609638887880276,0.7929289422679298,False,False,0.009295374433878179
100,FRG,1.3343457765587403,1.3070521355377744,-0.5106006168726407,-0.02029797128502537,-0.4903026455876153,False,False,0.009295374433878179
101,GAB,1.2928285191133315,1.4660280750138088,-0.2593562072440125,-0.0228916992928461,-0.23646450795116639,False,False,0.009295374433878179
102,GAL,-1.4498858831265256,-2.0137945668490214,-2.3140263549403044,0.3944633813009037,-2.708489736241208,False,True,0.009295374433878179
103,GAM,0.2808849784330062,0.220928367474343,-1.211917958201496,-0.06807564048011414,-1.143842317721382,False,False,0.009295374433878179
104,GEO,-0.2179050377587534,-0.3478112764350301,-0.06463044964589,-0.03947631516323063,-0.025154134482659372,False,False,0.009295374433878179
105,GER,-0.0341579531521061,0.4876317759548556,1.0800802892034616,-0.05184442544774165,1.1319247146512033,False,False,0.009295374433878179
106,GGI,0.3821707702610564,0.3478443658847058,-0.326876286085454,-0.06822764553517918,-0.2586486405502748,False,False,0.009295374433878179
107,GHA,1.2028093963679782,1.3070521355377744,-0.2144962354732561,-0.028683297341555003,-0.1858129381317011,False,False,0.009295374433878179
108,GIL,-0.7150932295904245,-1.0846843279216114,0.8868891000133338,0.11236819328933906,0.7745209067239947,False,False,0.009295374433878179
109,GNB,0.785635851848584,0.721743096981282,-0.2083495780563448,-0.058320563056481624,-0.15002901499986318,False,False,0.009295374433878179
110,GNL,-0.9823443133281768,-1.0846843279216114,0.6341035493194778,0.26906091847072744,0.3650426308487503,False,False,0.009295374433878179
111,GRB,-0.8175933747809684,-0.1862733238983291,0.0027395792675219,0.16797398682594802,-0.1652344075584261,False,False,0.009295374433878179
112,GRC,0.1211015489692543,0.6341746128716227,0.228357635306458,-0.06142264945353464,0.2897802847599926,False,False,0.009295374433878179
113,GST,-0.4540905243205775,-0.6908187644805573,-1.2155364534642243,0.0126020663584667,-1.228138519822691,False,False,0.009295374433878179
114,GUA,1.2795617502156234,1.0612459368974017,-0.2180396726927841,-0.023727072363798608,-0.19431260032898548,False,False,0.009295374433878179
115,GUI,1.2062923168595912,1.354880366926274,-0.2361045999056107,-0.028452366624353752,-0.20765223328125695,False,False,0.009295374433878179
116,GUY,1.306089590930998,1.2947602093750512,-0.2338553569301684,-0.022060548723974168,-0.21179480820619423,False,False,0.009295374433878179
117,HAI,0.2741595527441054,0.2862986308019837,-0.4131296802764396,-0.06793504721311544,-0.34519463306332415,False,False,0.009295374433878179
118,HON,1.1418299071548492,0.9981301919424256,-0.0029451750312054,-0.032852291620001355,0.029907116588795954,False,False,0.009295374433878179
119,HUN,-0.4096144533246616,0.1145389224482926,1.181187589056694,-0.002593666559806668,1.1837812556165008,False,False,0.009295374433878179
120,ICE,-0.965374096862864,-0.8686427403087341,2.137105504324288,0.259831304353125,1.877274199971163,False,False,0.009295374433878179
121,IDA,-0.3559014021731879,-0.4078260557832601,0.1223364162036713,-0.017662505593656203,0.1399989217973275,False,False,0.009295374433878179
122,ILL,-0.3024651526936323,-0.2911066102048046,-0.4632025768230795,-0.02792152572176826,-0.43528105110131127,False,False,0.009295374433878179
123,IND,2.0613012041690264,1.8465391515831195,0.3650418700363264,0.03228799067819299,0.3327538793581334,False,False,0.009295374433878179
